Type of reference (TY),First Author (A1),Secondary Author (A2),Tertiary Author (A3),Subsidiary Author (A4),Abstract (AB),Author Address (AD),Accession Number (AN),Author (AU),Location in Archives (AV),This field maps to T2 for all reference types except for Whole Book and Unpublished Work references. (BT),Custom 1 (C1),Custom 2 (C2),Custom 3 (C3),Custom 4 (C4),Custom 5 (C5),Custom 6 (C6),Custom 7 (C7),Custom 8 (C8),Caption (CA),Call Number (CN),This field can contain alphanumeric characters. (CP),Title of unpublished reference (CT),Place Published (CY),Date (DA),Name of Database (DB),DOI (DO),Database Provider (DP),Editor (ED),End Page (EP),Edition (ET),Reference ID (ID),Issue number (IS),Periodical name: user abbreviation 1. (J1),Alternate Title (J2),Periodical name: standard abbreviation. (JA),Journal/Periodical name: full format. (JF),Journal/Periodical name: full format. (JO),Keywords (KW),Link to PDF. (L1),Link to Full-text. (L2),Related Records. (L3),Image(s). (L4),Language (LA),Label (LB),Website Link (LK),Number (M1),Miscellaneous 2. (M2),Type of Work (M3),Notes (N1),Abstract. (N2),Number of Volumes (NV),Original Publication (OP),Publisher (PB),Publishing Place (PP),Publication year (YYYY/MM/DD) (PY),Reviewed Item (RI),Research Notes (RN),Reprint Edition (RP),Section (SE),ISBN/ISSN (SN),Start Page (SP),Short Title (ST),Primary Title (T1),Secondary Title (T2),Tertiary Title (T3),Translated Author (TA),Title (TI),Translated Title (TT),User definable 1. (U1),User definable 2. (U2),User definable 3. (U3),User definable 4. (U4),User definable 5. (U5),URL (UR),Volume number (VL),Published Standard number (VO),Primary Date (Y1),Access Date (Y2),End of Reference (ER)
JOUR ,,,,,"Thirty-seven azo, xanthene and triphenylmethane dyes including FD and C colors currently approved for use in the U.S.A. and a number of delisted food colors, were tested in the Salmonella/microsome system. In addition to direct plate tests with five tester strains (TA1535, TA100, TA1537, TA1538, TA98), the azo dyes were also assayed after chemical reduction to their component amines. Also, a selected group of azo dyes was subjected to liquid tests (both aerobic with microsomes and anaerobic) and to plate tests involving initial 16 h anaerobic incubations to facilitate microbial reduction of the azo bond. None of the presently listed FD and C colors was mutagenic in any of the test modifications. Among formerly listed colors only Butter Yellow (p-dimethylaminoazobenzene), a recognized animal carcinogen, was mutagenic in the aerobic liquid test. Several other azo dyes were either directly mutagenic, viz. Acid Alizarin Yellow R and Alizarin Yellow GG; required microsomal activation, viz. Acid Alizarin Red B and Methyl Red; or required chemical reduction and microsomal activation, viz. Acid Alizarin Violet N and Sudan IV. Of the non-azo dyes tested only two xanthene dyes appeared to be mutagenic, viz. 9-(2-sulfophenyl)-6-hydroxy-3-isoxanthenone and its 2,4,5,7-tetrabromo derivative. ",,,"Brown, RJ ",,,,,,,,,,,,,,,,Jan ,,,,,,01/01/1978,12549,3,,Mutation research ,,,,"Azo Compounds/pharmacology Food Coloring Agents/pharmacology Genetic Techniques Microsomes, Liver/metabolism Mutagens Salmonella typhimurium/genetics Terphenyl Compounds/pharmacology Xanthenes/pharmacology ",,,,,,,,,,,,,,,,,1978,,,,,0027-5107 (Print) 0027-5107 ,249-71 ,"Mutagenicity testing of certified food colors and related azo, xanthene and triphenylmethane dyes with the Salmonella/microsome system ",,Mutat Res ,,,"Mutagenicity testing of certified food colors and related azo, xanthene and triphenylmethane dyes with the Salmonella/microsome system ",,,,,,,,56,,,,  
JOUR ,,,,,"Thirty-seven azo, xanthene and triphenylmethane dyes including FD and C colors currently approved for use in the U.S.A. and a number of delisted food colors, were tested in the Salmonella/microsome system. In addition to direct plate tests with five tester strains (TA1535, TA100, TA1537, TA1538, TA98), the azo dyes were also assayed after chemical reduction to their component amines. Also, a selected group of azo dyes was subjected to liquid tests (both aerobic with microsomes and anaerobic) and to plate tests involving initial 16 h anaerobic incubations to facilitate microbial reduction of the azo bond. None of the presently listed FD and C colors was mutagenic in any of the test modifications. Among formerly listed colors only Butter Yellow (p-dimethylaminoazobenzene), a recognized animal carcinogen, was mutagenic in the aerobic liquid test. Several other azo dyes were either directly mutagenic, viz. Acid Alizarin Yellow R and Alizarin Yellow GG; required microsomal activation, viz. Acid Alizarin Red B and Methyl Red; or required chemical reduction and microsomal activation, viz. Acid Alizarin Violet N and Sudan IV. Of the non-azo dyes tested only two xanthene dyes appeared to be mutagenic, viz. 9-(2-sulfophenyl)-6-hydroxy-3-isoxanthenone and its 2,4,5,7-tetrabromo derivative. ",,,"Brown, R. J. ",,,,,,,,,,,,,,,,Jan ,,,,,,,19412,3,,,,,,"Azo Compounds/pharmacology Food Coloring Agents/pharmacology Genetic Techniques Microsomes, Liver/metabolism Mutagens Salmonella typhimurium/genetics Terphenyl Compounds/pharmacology Xanthenes/pharmacology ",,,,,,,,,,,"Brown, J P Roehm, G W Brown, R J eng Netherlands 1978/01/01 Mutat Res. 1978 Jan;56(3):249-71. ",,,,,,1978,,,,,0027-5107 (Print) 0027-5107 (Linking) ,249-71 ,"Mutagenicity testing of certified food colors and related azo, xanthene and triphenylmethane dyes with the Salmonella/microsome system ",,Mutat Res ,,,"Mutagenicity testing of certified food colors and related azo, xanthene and triphenylmethane dyes with the Salmonella/microsome system ",,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/342943 ,56,,,,  
JOUR ,,,,,,,,"Ren, J ",,,,,,,,,,,,,,,,,,,,,,,16322,4,,,,,,,,,,,,,,,,,,,,,,,1999,,,,,0145-5680 ,453-465 ,Acetaldehyde depresses myocardial contraction and cardiac myocyte shortening in spontaneously hypertensive rats: role of intracellular Ca2+ ,,"Cellular and molecular biology (Noisy-le-Grand, France) ",,,Acetaldehyde depresses myocardial contraction and cardiac myocyte shortening in spontaneously hypertensive rats: role of intracellular Ca2+ ,,,,,,,,45,,,,  
JOUR ,,,,,,,,"Lepec, Richard ",,,,,,,,,,,,,,,,2002,,,,,,,17369,9301,,,,,,,,,,,,,,,,,https://www.researchgate.net/profile/Richard_Lepec/publication/11550607_Violence_in_southern_Sudan/links/55561d8208ae6943a873375b.pdf ,,,,,,2002,,,,,,161,Violence in southern Sudan ,,The Lancet ,,,Violence in southern Sudan ,,,,,,,,359,,,,  
JOUR ,,,,,,,,"Lepec, R ",,,,,,,,,,,,,,,,Jan-12,,,,,,26/01/2002,12551,9301,,"Lancet (London, England) ",,,,"Age Distribution Child Child, Preschool     Mortality Population Surveillance Public Health Refugees/statistics & numerical data Retrospective Studies Sex Distribution Sudan/epidemiology Violence/statistics & numerical data/trends Warfare ",,,,,,,,,,,,,,,,,2002,,,,,0140-6736 (Print) 0140-6736 ,161,Violence in southern Sudan ,,Lancet ,,,Violence in southern Sudan ,,,,,,,,359,,,,  
BOOK ,,,,,,,,"Browne, EG ",,,,,,,,,,,,,,,"Cambridge, U.K. ",1921,,,,,,,4178,,,,,,,History of Medicine ,,,,,,,,,,,,,,,,,1921,,,,,,,Arabian Medicine ,,,,,Arabian Medicine ,,,,,,,,,,,,  
JOUR ,,,,,"In early April 2014, two South Sudanese refugees in the Gambella region of western Ethiopia experienced acute onset of jaundice, accompanied by fever. One patient was a pregnant woman aged 24 years evaluated at a routine prenatal clinic visit in Leitchour refugee camp. The second patient was a malnourished boy aged 1 year who resided in Tierkidi refugee camp. The boy died despite hospitalization. During the last 2 weeks of May, four more cases of acute jaundice syndrome (AJS), defined as yellow discoloration of the eyes, were detected in Leitchuor. By mid-June, an additional 50 AJS cases were reported across three large camps in the region, Kule, Leitchuor, and Tierkidi, with 45 (90%) of these cases reported in Leitchuor. Sera collected from a convenience sample of 21 AJS cases were sent to Addis Ababa and Nairobi for real-time polymerase chain reaction testing; 12 (57%) were positive for hepatitis E virus (HEV) RNA. By January 2015, a total of 1,117 suspected cases of hepatitis E meeting the case definition of AJS were reported among refugees in camps across Gambella. ",,,"Shahpar, C ",,,,,,,,,,,,,,,,May-22,,,,,,23/05/2015,12552,19,,MMWR. Morbidity and mortality weekly report ,,,,Disease Outbreaks Ethiopia/epidemiology  Hepatitis E/epidemiology    Pregnancy Refugees/statistics & numerical data Sudan/ethnology   ,,,,,,,,,,,,,,,,,2015,,,,,0149-2195 ,537,"Notes from the field: hepatitis E outbreak among refugees from South Sudan - Gambella, Ethiopia, April 2014-January 2015 ",,MMWR Morb Mortal Wkly Rep ,,,"Notes from the field: hepatitis E outbreak among refugees from South Sudan - Gambella, Ethiopia, April 2014-January 2015 ",,,,,,,,64,,,,  
JOUR ,,,,,"In early April 2014, two South Sudanese refugees in the Gambella region of western Ethiopia experienced acute onset of jaundice, accompanied by fever. One patient was a pregnant woman aged 24 years evaluated at a routine prenatal clinic visit in Leitchour refugee camp. The second patient was a malnourished boy aged 1 year who resided in Tierkidi refugee camp. The boy died despite hospitalization. During the last 2 weeks of May, four more cases of acute jaundice syndrome (AJS), defined as yellow discoloration of the eyes, were detected in Leitchuor. By mid-June, an additional 50 AJS cases were reported across three large camps in the region, Kule, Leitchuor, and Tierkidi, with 45 (90%) of these cases reported in Leitchuor. Sera collected from a convenience sample of 21 AJS cases were sent to Addis Ababa and Nairobi for real-time polymerase chain reaction testing; 12 (57%) were positive for hepatitis E virus (HEV) RNA. By January 2015, a total of 1,117 suspected cases of hepatitis E meeting the case definition of AJS were reported among refugees in camps across Gambella. ",,,Prevention ,,,,,,,,,,,,,,,,May-22,,,,,,,19414,19,,,,,,Disease Outbreaks Ethiopia/epidemiology Female Hepatitis E/epidemiology Humans Infant Male Pregnancy Refugees/statistics & numerical data Sudan/ethnology Young Adult ,,,,,,,,,,,"Browne, Lauren B Menkir, Zeray Kahi, Vincent Maina, Gidraf Asnakew, Solomon Tubman, Michelle Elyas, Hajir Z Nigatu, Alemayehu Dak, David Maung, U Aye Nakao, Jolene H Bilukha, Oleg Shahpar, Cyrus (CDC) eng 2015/05/23 06:00 MMWR Morb Mortal Wkly Rep. 2015 May 22;64(19):537. ",,,,,,2015,,,,,1545-861X (Electronic) 0149-2195 (Linking) ,537,"Notes from the field: hepatitis E outbreak among refugees from South Sudan - Gambella, Ethiopia, April 2014-January 2015 ",,MMWR Morb Mortal Wkly Rep ,,,"Notes from the field: hepatitis E outbreak among refugees from South Sudan - Gambella, Ethiopia, April 2014-January 2015 ",,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/25996097 ,64,,,,  
JOUR ,,,,,"Three odontogenic cysts, two of dentigerous and one of dental type, are reported in which large numbers of cells containing autofluorescent granules were present, in both the capsule and cyst lining. Histochemical and electron microscopical studies suggest that the granules are composed of lipofuscin. Examination of 30 examples each of dental cysts, dentigerous cysts and odontogenic keratocysts indicated that the prevalence of occasional cells of similar appearance was about 40%, 50% and 17% respectively. The pathogenesis of these cells is discussed. ",,,"Rippin, JW ",,,,,,,,,,,,,,,,Nov ,,,,,,01/11/1984,12553,6,,Histopathology ,,,," Azo Compounds Dentigerous Cyst/pathology Fluorescence   Microscopy, Electron Middle Aged Naphthalenes Odontogenic Cysts/pathology ",,,,,,,,,,,,,,,,,1984,,,,,0309-0167 (Print) 0309-0167 ,937-45 ,Autofluorescent granular cells in odontogenic cysts ,,Histopathology ,,,Autofluorescent granular cells in odontogenic cysts ,,,,,,,,8,,,,  
JOUR ,,,,,"Three odontogenic cysts, two of dentigerous and one of dental type, are reported in which large numbers of cells containing autofluorescent granules were present, in both the capsule and cyst lining. Histochemical and electron microscopical studies suggest that the granules are composed of lipofuscin. Examination of 30 examples each of dental cysts, dentigerous cysts and odontogenic keratocysts indicated that the prevalence of occasional cells of similar appearance was about 40%, 50% and 17% respectively. The pathogenesis of these cells is discussed. ",,,"Rippin, J. W. ",,,,,,,,,,,,,,,,Nov ,,,,,,,19415,6,,,,,,"Adult Azo Compounds Dentigerous Cyst/pathology Fluorescence Humans Male Microscopy, Electron Middle Aged Naphthalenes Odontogenic Cysts/pathology ",,,,,,,,,,,"Browne, R M Rippin, J W eng Case Reports England 1984/11/01 Histopathology. 1984 Nov;8(6):937-45. ",,,,,,1984,,,,,0309-0167 (Print) 0309-0167 (Linking) ,937-45 ,Autofluorescent granular cells in odontogenic cysts ,,Histopathology ,,,Autofluorescent granular cells in odontogenic cysts ,,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/6526390 ,8,,,,  
BOOK ,,,,,,,,"Browne, William George ",,,,,,,,,,,,,,,London ,1799,,,,,,,3285,,,,,,,"History of Medicine Missionaries, Travellers and Explorers Traditional Sudanese Medicine Female Genital Cutting (Circumcision) ",,,,,,,,,,,,,,,,,1799,,,,,,,"Travels in Africa, Egypt and Syria from the Year 1792 to 1798 ",,,,,"Travels in Africa, Egypt and Syria from the Year 1792 to 1798 ",,,,,,,,,,,,  
BOOK ,,"Clingan, JM ",,,,,,"Bruce, James ",,,,,,,,,,,,,,,London ,1873,,,,,,,2866,,,,,,,"History of Medicine Missionaries, Travellers and Explorers ",,,,,,,,,,,,,,,,,1873,,,,,,,"Travels in Abyssinia and Nubia, 1768-1773, to Discover the Source of the Nile ",,,,,"Travels in Abyssinia and Nubia, 1768-1773, to Discover the Source of the Nile ",,,,,,,,,,,,  
JOUR ,,,,,"Allelic diversity at the Plasmodium vivax merozoite surface protein-3alpha (PvMsp-3alpha) locus was investigated using a combined polymerase chain reaction/restriction fragment length polymorphism (PCR/RFLP) protocol. Symptomatic patient isolates from global geographic origins showed a high level of polymorphism at the nucleotide level. These samples were used to validate the sensitivity, specificity, and reproducibility of the PCR/RFLP method. It was then used to investigate PvMsp3alpha diversity in field samples from children living in a single village in a malaria-endemic region of Papua New Guinea, with the aim of assessing the usefulness of this locus as an epidemiologic marker of P. vivax infections. Eleven PvMsp-3alpha alleles were distinguishable in 16 samples with single infections, revealing extensive parasite polymorphism within this restricted area. Multiple infections were easily detected and accounted for 5 (23%) of 22 positive samples. Pairs of samples from individual children provided preliminary evidence for high turnover of P. vivax populations. ",,,"Day, KP ",,,,,,,,,,,,,,,,Oct ,,,,,,05/11/1999,12554,4,,The American journal of tropical medicine and hygiene ,,,,"  Antigens, Protozoan/analysis/genetics Antigens, Surface/analysis/genetics Biomarkers/blood Brazil/epidemiology Child Child, Preschool DNA Primers/chemistry DNA, Protozoan/chemistry/isolation & purification El Salvador/epidemiology Electrophoresis, Agar Gel Genetic Variation/genetics  India/epidemiology Malaria, Vivax/epidemiology/parasitology Papua New Guinea/epidemiology Parasitemia/epidemiology/parasitology Plasmodium vivax/genetics/isolation & purification Polymerase Chain Reaction Polymorphism, Restriction Fragment Length Protozoan Proteins/analysis/genetics Reproducibility of Results Sensitivity and Specificity Sri Lanka/epidemiology Sudan/epidemiology ",,,,,,,,,,,,,,,,,1999,,,,,0002-9637 (Print) 0002-9637 ,518-25 ,Polymorphism at the merozoite surface protein-3alpha locus of Plasmodium vivax: global and local diversity ,,Am J Trop Med Hyg ,,,Polymorphism at the merozoite surface protein-3alpha locus of Plasmodium vivax: global and local diversity ,,,,,,,,61,,,,  
JOUR ,,,,,"Allelic diversity at the Plasmodium vivax merozoite surface protein-3alpha (PvMsp-3alpha) locus was investigated using a combined polymerase chain reaction/restriction fragment length polymorphism (PCR/RFLP) protocol. Symptomatic patient isolates from global geographic origins showed a high level of polymorphism at the nucleotide level. These samples were used to validate the sensitivity, specificity, and reproducibility of the PCR/RFLP method. It was then used to investigate PvMsp3alpha diversity in field samples from children living in a single village in a malaria-endemic region of Papua New Guinea, with the aim of assessing the usefulness of this locus as an epidemiologic marker of P. vivax infections. Eleven PvMsp-3alpha alleles were distinguishable in 16 samples with single infections, revealing extensive parasite polymorphism within this restricted area. Multiple infections were easily detected and accounted for 5 (23%) of 22 positive samples. Pairs of samples from individual children provided preliminary evidence for high turnover of P. vivax populations. ",,,"Day, K. P. ",,,,,,,,,,,,,,,,Oct ,,,,,,,19416,4,,,,,,"Adolescent Animals Antigens, Protozoan/analysis/genetics Antigens, Surface/analysis/genetics Biomarkers/blood Brazil/epidemiology Child Child, Preschool DNA Primers/chemistry DNA, Protozoan/chemistry/isolation & purification El Salvador/epidemiology Electrophoresis, Agar Gel Genetic Variation/genetics Humans India/epidemiology Malaria, Vivax/epidemiology/parasitology Papua New Guinea/epidemiology Parasitemia/epidemiology/parasitology Plasmodium vivax/genetics/isolation & purification Polymerase Chain Reaction Polymorphism, Restriction Fragment Length Protozoan Proteins/analysis/genetics Reproducibility of Results Sensitivity and Specificity Sri Lanka/epidemiology Sudan/epidemiology ",,,,,,,,,,,"Bruce, M C Galinski, M R Barnwell, J W Snounou, G Day, K P eng AI-24710-12/AI/NIAID NIH HHS/ U01-AI37545/AI/NIAID NIH HHS/ Wellcome Trust/United Kingdom Research Support, Non-U.S. Gov't Research Support, U.S. Gov't, P.H.S. 1999/11/05 Am J Trop Med Hyg. 1999 Oct;61(4):518-25. ",,,,,,1999,,,,,0002-9637 (Print) 0002-9637 (Linking) ,518-25 ,Polymorphism at the merozoite surface protein-3alpha locus of Plasmodium vivax: global and local diversity ,,Am J Trop Med Hyg ,,,Polymorphism at the merozoite surface protein-3alpha locus of Plasmodium vivax: global and local diversity ,,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/10548283 ,61,,,,  
JOUR ,,,,,,,,"Bruce-Chwatt, Leonard ",,,,,,,,,,,,,,,,14-Jan-76,,,,,,,3286,7,,,,,,Traditional Sudanese Medicine Female Genital Cutting (Circumcision) ,,,,,,,,,,,,,,,,,1976,,,,,,,Female Circumcision and Politics ,,World Medicine ,,,Female Circumcision and Politics ,,,,,,,,2,,,,  
JOUR ,,,,,"BACKGROUND: Mycetoma is a chronic and destructive infection caused by either fungus or bacteria. Mycetoma has a characteristic clinical presentation of a triad of tumor-like swelling, draining sinuses, and macroscopic grains. Mycetoma infection is extremely rare in Israel; however, in view of the recent immigration from mycetoma-hyperendemic regions of Africa to Israel, physicians in Israel may encounter this infection. OBJECTIVES: To present two cases of mycetoma caused by Madurella mycatomatis in immigrants from endemic regions in Sudan treated at our hospital, and review the current literature. CONCLUSIONS: Health care professionals in Israel should suspect mycetoma in patients from endemic countries who present with tumor-like swelling especially in the lower extremity. Health care workers should be able to recognize mycetoma and provide the optimal treatment before the lesion progresses to an advanced and disabling disease. ",,,"Paran, Y. ",,,,,,,,,,,,,,,,Jul ,,,,,,12/09/2015,12556,7,,The Israel Medical Association journal : IMAJ ,,,, Emigrants and Immigrants Foot Diseases/microbiology/pathology  Israel Madurella/isolation & purification  Mycetoma/microbiology/pathology Sudan/ethnology   ,,,,,,,,,,,,,,,,,2015,,,,,1565-1088 (Print) ,418-20 ,Mycetoma of the Foot Caused by Madurella Mycetomatis in Immigrants from Sudan ,,Isr Med Assoc J ,,,Mycetoma of the Foot Caused by Madurella Mycetomatis in Immigrants from Sudan ,,,,,,,,17,,,,  
JOUR ,,,,,,,,"Brumfiel, G ",,,,,,,,,,,,,,,,Feb-19,,,,,,20/02/2004,12558,6976,,Nature ,,,,"Commerce/legislation & jurisprudence Cuba Internationality Iran Libya Publishing/legislation & jurisprudence Science/legislation & jurisprudence Societies, Scientific/legislation & jurisprudence Sudan United States ",,,,,,,,,,,,,,,,,2004,,,,,0028-0836 ,663,Publishers split over response to US trade embargo ruling ,,Nature ,,,Publishers split over response to US trade embargo ruling ,,,,,,,,427,,,,  
JOUR ,,,,,,,,"Brumpt, E. ",,,,,,,,,,,,,,,,1936,,,,,,,605,,,,,,,Parasitology ,,,,,,,,,,,,,,,,,1936,,,,,,640,Distri geog of or ,,Ann Parasit ,,,Distri geog of or ,,,,,,,,14,,,,  
BOOK ,,,,,,,,"Brun), Niya Salima (pseudonym Eugenie Le ",,,,,,,,,,,,,,,Paris ,1902,,,,,,,4077,,,,,,,Medical Miscellany Traditional Sudanese Medicine Spirit Possession ,,,,,,,,,,,,,,,,,1902,,,,,,"Chapter 12, 13 on zar, pages 255-98 ",Harems et musulmanes. Lettres d'Egypte ,,,,,Harems et musulmanes. Lettres d'Egypte ,,,,,,,,,,,,  
JOUR ,,,,,,,,"Filice, C ",,,,,,,,,,,,,,,,Jan ,,,,,,06/02/2003,12561,1,,Tropical doctor ,,,,"Echinococcosis, Hepatic/surgery  Rural Health Services Sudan ",,,,,,,,,,,,,,,,,2003,,,,,0049-4755 (Print) 0049-4755 ,58-9 ,Treatment of echinococcosis at rural hospital level in Africa ,,Trop Doct ,,,Treatment of echinococcosis at rural hospital level in Africa ,,,,,,,,33,,,,  
JOUR ,,,,,,,,"Filice, C. ",,,,,,,,,,,,,,,,Jan ,,,,,,,19420,1,,,,,,"Echinococcosis, Hepatic/surgery Humans Rural Health Services Sudan ",,,,,,,,,,,"Brunetti, E Schantz, P M Zeyhle, E Filice, C eng Comment Letter England 2003/02/06 04:00 Trop Doct. 2003 Jan;33(1):58-9. ",,,,,,2003,,,,,0049-4755 (Print) 0049-4755 (Linking) ,58-9 ,Treatment of echinococcosis at rural hospital level in Africa ,,Trop Doct ,,,Treatment of echinococcosis at rural hospital level in Africa ,,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/12568532 ,33,,,,  
JOUR ,,,,,"Chemical-analytical studies during the past 4 years led to several new observations on the formation of tobacco-specific N-nitrosamines (TSNA) and their occurrence in smokeless tobacco, mainstream smoke (MS), and sidestream smoke (SS) of American and foreign cigarettes. When snuff was extracted by means of supercritical fluid extraction with carbon dioxide containing 10% methanol, analysis of this material confirmed that the extraction with organic solvents had been partially incomplete. Epidemiological studies in the northern Sudan showed a high risk for oral cancer for users of toombak, a home-made oral snuff. Toombak contains 100-fold higher levels of TSNA than commercial snuff in the U.S. and Sweden. The TSNA content in the saliva of toombak dippers is at least ten times higher than that reported in the saliva of dippers of commercial snuff. Biomarker studies have shown corresponding high levels of hemoglobin adducts with metabolites of NNN and NNK as well as for urinary metabolites of NNK. These data supported the epidemiological findings. The analyses of MS of U.S. and foreign cigarettes smoked under FTC conditions revealed comparable data for the smoke of nonfilter cigarettes and filter cigarettes except in the case of low- and ultralow-yield cigarettes, which showed reduced TSNA yields. The MS of cigarettes made from Burley or dark tobacco is exceptionally high in TSNA, primarily because of the high nitrate content of those tobacco types. Taking puffs of larger volume and drawing puffs more frequently, practices observed among most smokers of cigarettes with low nicotine yield, results in high TSNA values in the MS. The formation of the lung carcinogen NNK is favored during the smoldering of cigarettes, between puffs, when SS is generated. Consequently, in most samples from indoor air polluted with environmental tobacco smoke (ETS), the highest concentration of an individual TSNA is that of NNK. When nonsmokers had remained for up to 2 h in a test laboratory with high ETS pollution, they excreted measurable amounts of NNK metabolites in the urine, indicative of the uptake of TSNA. ",,,"Hoffmann, D ",,,,,,,,,,,,,,,,,,,,,,01/01/1996,12562,2,,Critical reviews in toxicology ,,,,"Air Pollutants/analysis Carcinogens/analysis/chemistry Chromatography, Gas Differential Thermal Analysis   Nicotine/analysis Nitrosamines/analysis/chemistry Plants, Toxic Saliva/chemistry Solvents/chemistry Tobacco/chemistry Tobacco Smoke Pollution/analysis Tobacco, Smokeless/chemistry ",,,,,,,,,,,,,,,,,1996,,,,,1040-8444 (Print) 1040-8444 ,121-37 ,Formation and analysis of tobacco-specific N-nitrosamines ,,Crit Rev Toxicol ,,,Formation and analysis of tobacco-specific N-nitrosamines ,,,,,,,,26,,,,  
JOUR ,,,,,"Chemical-analytical studies during the past 4 years led to several new observations on the formation of tobacco-specific N-nitrosamines (TSNA) and their occurrence in smokeless tobacco, mainstream smoke (MS), and sidestream smoke (SS) of American and foreign cigarettes. When snuff was extracted by means of supercritical fluid extraction with carbon dioxide containing 10% methanol, analysis of this material confirmed that the extraction with organic solvents had been partially incomplete. Epidemiological studies in the northern Sudan showed a high risk for oral cancer for users of toombak, a home-made oral snuff. Toombak contains 100-fold higher levels of TSNA than commercial snuff in the U.S. and Sweden. The TSNA content in the saliva of toombak dippers is at least ten times higher than that reported in the saliva of dippers of commercial snuff. Biomarker studies have shown corresponding high levels of hemoglobin adducts with metabolites of NNN and NNK as well as for urinary metabolites of NNK. These data supported the epidemiological findings. The analyses of MS of U.S. and foreign cigarettes smoked under FTC conditions revealed comparable data for the smoke of nonfilter cigarettes and filter cigarettes except in the case of low- and ultralow-yield cigarettes, which showed reduced TSNA yields. The MS of cigarettes made from Burley or dark tobacco is exceptionally high in TSNA, primarily because of the high nitrate content of those tobacco types. Taking puffs of larger volume and drawing puffs more frequently, practices observed among most smokers of cigarettes with low nicotine yield, results in high TSNA values in the MS. The formation of the lung carcinogen NNK is favored during the smoldering of cigarettes, between puffs, when SS is generated. Consequently, in most samples from indoor air polluted with environmental tobacco smoke (ETS), the highest concentration of an individual TSNA is that of NNK. When nonsmokers had remained for up to 2 h in a test laboratory with high ETS pollution, they excreted measurable amounts of NNK metabolites in the urine, indicative of the uptake of TSNA. ",,,"Hoffmann, D. ",,,,,,,,,,,,,,,,,,,,,,,19421,2,,,,,,"Air Pollution, Indoor/analysis Carcinogens/analysis/chemistry Chromatography, Gas Differential Thermal Analysis Humans Male Nicotine/analysis Nitrosamines/analysis/chemistry Plants, Toxic Saliva/chemistry Solvents/chemistry Tobacco/chemistry Tobacco Smoke Pollution/analysis Tobacco, Smokeless/chemistry ",,,,,,,,,,,"Brunnemann, K D Prokopczyk, B Djordjevic, M V Hoffmann, D eng CA-29580/CA/NCI NIH HHS/ Research Support, U.S. Gov't, P.H.S. Review England 1996/01/01 Crit Rev Toxicol. 1996;26(2):121-37. ",,,,,,1996,,,,,1040-8444 (Print) 1040-8444 (Linking) ,121-37 ,Formation and analysis of tobacco-specific N-nitrosamines ,,Crit Rev Toxicol ,,,Formation and analysis of tobacco-specific N-nitrosamines ,,,,,,,https://www.ncbi.nlm.nih.gov/pubmed/8688156 ,26,,,,  
JOUR ,,,,,"Growth in length of infants in Khartoum is profoundly related to whether or not their mothers are in paid employment. Some of this relationship appears to be due to levels of infectious disease, which are much higher in the infants of working mothers. Exponential decay curves do not fit longitudinal measurements of length growth particularly well in either group of infants, but they do yield distinctive temporal patterns of residuals. Simulation demonstrates that these patterns accord with a ""catch-down"" form of growth in infants of working mothers and a ""catch-up"" form in infants of housewives. Attempts to allow for these phenomena by providing for the opportunity of a single pulse of negative sine form in the former and a similar pulse of positive sine form in the latter reduces the level of residuals and tends to reduce temporal pattern in them. Most strikingly, it leads to average growth curves for the two groups of children becoming almost identical. It is hypothesized that these decay curves represent the underlying curves of infant growth in Khartoum free from the effects of environmental variation. ",,,"Harrison, G.. A. ",,,,,,,,,,,,,,,,Mar-Apr ,,,,,,20/07/2001,12563,2,,American journal of human biology : the official journal of the Human Biology Council ,,,,"Environment  Growth/physiology Health Status Indicators   , Newborn Longitudinal Studies  Mothers Sudan Women, Working/statistics & numerical data ",,,,,,,,,,,,,,,,,2001,,,,,1042-0533 (Print) 1042-0533 ,197-203 ,Components of length growth variation in infants from the same population but different environments ,,Am J Hum Biol ,,,Components of length growth variation in infants from the same population but different environments ,,,,,,,,13,,,,  
JOUR ,,,,,"Longitudinal data of monthly length and weight measurements, and fortnightly infectious disease records of 167 infants in Khartoum townships, have been examined to determine: (1) whether disease experience in the first 6 months of life is related to growth in the second 6 months and (2) whether growth in the first period is related to disease experience in the second. Using regression techniques to allow for disease measure correlations in the two periods and other environmental factors that are associated with growth and disease, it is concluded that both length and especially weight growth are affected adversely by previous illness. On the other hand there is almost no evidence that early growth is associated with later disease susceptibility. ",,,"Waterlow, JC ",,,,,,,,,,,,,,,,May-Jun ,,,,,,01/05/1997,12564,3,,Annals of human biology ,,,,"Body Height/physiology Body Weight/physiology Growth/physiology Growth Disorders/complications/etiology   , Newborn , Newborn, Diseases/etiology/physiopathology Sudan ",,,,,,,,,,,,,,,,,1997,,,,,0301-4460 (Print) 0301-4460 ,187-95 ,"Effects of early disease on later growth, and early growth on later disease, in Khartoum infants ",,Ann Hum Biol ,,,"Effects of early disease on later growth, and early growth on later disease, in Khartoum infants ",,,,,,,,24,,,,  
